column,name,data type,data,notes,keep,2016,2018,2019,2020,2021,2022,2023,2024
1,DataStatus,character,"whether data is finalized ""Final""","all ""final"" in 2021, ""provisional"" in 2022 and 2023",0,0,0,0,0,1,1,1,1
2,UniqueID,numeric,unique identifier for each polygon,"from LandIQ, shows up as character in R, stays consistent even when shape changes",1,0,1,1,1,1,1,1,1
3,DWR_REVISE,character,indicates that original polygon was revised or modified by DWR land use staff,revised polygons have value r,0,1,1,1,1,1,1,1,1
4,SYMB_CLASS,character,class code from CLASS2 main cropping season,"single letter, class code from CLASS2",0,1,1,1,1,1,1,1,1
5,MULTIUSE,character,indicates sequence of land use,"S = single, D = double, T = triple, Q = quadruple, I. = intercropped, M = mixed use, with types coded in PCNT columns",1,1,1,1,1,1,1,1,1
6,CLASS1,character,"first crop of season on field, beginning of sequence for multiuse","only multiuse D, T, Q, or M will have CLASS1",1,1,1,1,1,1,1,1,1
7,SUBCLASS1,numeric,subclass of CLASS1 crop,not mandatory to have a subclass,1,1,1,1,1,1,1,1,1
8,SPECOND1,character,special condition of parcel first land use,"have codes in metadata, not mandatory",1,1,1,1,1,1,1,1,1
9,IRR_TYP1PA,character,status of irrigation system,"irrigation status, have codes in metadata, all presumed irrigated unless ""n"" for non-irrigated",1,1,1,1,1,1,1,1,1
10,IRR_TYP1PB,character,type of irrigation system,from CA dept of water resources,1,1,1,1,1,1,1,1,1
11,PCNT1,numeric,percentage of cropped area associated with first land use,"""00"" is 100%",1,1,1,1,1,1,1,1,1
12,CLASS2,character,"main season summer crop for single crop fields, second crop in water year for double/triple/quadruple crop fields",,1,1,1,1,1,1,1,1,1
13,SUBCLASS2,numeric,subclass of CLASS2 crop,character in R,1,1,1,1,1,1,1,1,1
14,SPECOND2,character,special condition of parcel's main land use,,1,1,1,1,1,1,1,1,1
15,IRR_TYP2PA,character,irrigation status,,1,1,1,1,1,1,1,1,1
16,IRR_TYP2PB,character,irrigation type,,1,1,1,1,1,1,1,1,1
17,PCNT2,numeric,percentage of cropped area covered by CLASS2 crop,is a character in R,1,1,1,1,1,1,1,1,1
18,CLASS3,character,third crop or other land use on field,,1,1,1,1,1,1,1,1,1
19,SUBCLASS3,numeric,subclass of CLASS3,is a character in R,1,1,1,1,1,1,1,1,1
20,SPECOND3,character,special condition,,1,1,1,1,1,1,1,1,1
21,IRR_TYP3PA,character,irrigation status,,1,1,1,1,1,1,1,1,1
