landiq_cat,crop_type,crop_code,crop_desc,pft_group,notes
grain and hay crops,G,1,barley,row,
grain and hay crops,G,2,wheat,row,
grain and hay crops,G,3,oats,row,
grain and hay crops,G,6,miscellaneous grain and hay,hay,
grain and hay crops,G,7,mixed grain and hay,hay,
rice,R,1,rice,rice,
rice,R,2,wild rice,rice,
field crops,F,1,cotton,row,
field crops,F,2,safflower,row,
field crops,F,3,flax,row,
field crops,F,4,hops,row,
field crops,F,5,sugar beets,row,
field crops,F,6,corn,row,field and sweet
field crops,F,7,grain sorghum,row,
field crops,F,8,sudan,row,
field crops,F,9,castor beans,row,
field crops,F,10,beans,row,dry
field crops,F,11,miscellaneous field,row,
field crops,F,12,sunflowers,row,
field crops,F,13,hybrid sorghum sudan,row,
field crops,F,14,millet,row,
field crops,F,15,sugar cane,row,
field crops,F,16,corn sorghum sudan,row,grouped for remote sensing only
pasture,P,1,alfalfa and alfalfa mixtures,row,
pasture,P,2,clover,row,
pasture,P,3,mixed pasture,row,
pasture,P,4,native pasture,row,
pasture,P,5,induced high water table native pasture,row,
pasture,P,6,miscellaneous grasses,row,
pasture,P,7,turf farms,row,
pasture,P,8,bermuda grass,row,
pasture,P,9,rye grass,row,
pasture,P,10,klein grass,row,
truck nursery and berry crops,T,1,artichokes,row,
truck nursery and berry crops,T,2,asparagus,row,
truck nursery and berry crops,T,3,beans,row,green
truck nursery and berry crops,T,4,cole crops,row,mixture of 22-25
truck nursery and berry crops,T,6,carrots,row,
truck nursery and berry crops,T,7,celery,row,
truck nursery and berry crops,T,8,lettuce,row,all types
truck nursery and berry crops,T,9,melons squash and cucumber,row,all types
truck nursery and berry crops,T,10,onions and garlic,row,
truck nursery and berry crops,T,11,peas,row,
truck nursery and berry crops,T,12,potatoes,row,
truck nursery and berry crops,T,13,sweet potatoes,row,
truck nursery and berry crops,T,14,spinach,row,
truck nursery and berry crops,T,15,tomatoes,row,processing
truck nursery and berry crops,T,16,flowers nursery and christmas tree farms,row,
truck nursery and berry crops,T,17,mixed,row,four or more
truck nursery and berry crops,T,18,miscellaneous truck,row,
truck nursery and berry crops,T,19,bush berries,woody,
truck nursery and berry crops,T,20,strawberries,row,
truck nursery and berry crops,T,21,peppers,row,chili bell etc
truck nursery and berry crops,T,22,broccoli,row,
